doc_id,filename,format,category,sensitivity_level,title,generated
custom_00038,custom_00038.docx,docx,行政通知,L1,法务部门培训计划,1
custom_00039,custom_00039.docx,docx,行政通知,L1,假期安排通知,1
custom_00040,custom_00040.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00041,custom_00041.docx,docx,公开报告,L1,2025年度企业社会责任报告,1
custom_00042,custom_00042.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00043,custom_00043.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00044,custom_00044.docx,docx,公开报告,L1,产品使用手册 v2.9,1
custom_00045,custom_00045.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00046,custom_00046.docx,docx,行政通知,L1,假期安排通知,1
custom_00047,custom_00047.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00048,custom_00048.docx,docx,行政通知,L1,关于11月考勤安排的通知,1
custom_00049,custom_00049.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00050,custom_00050.docx,docx,行政通知,L1,关于2月考勤安排的通知,1
custom_00051,custom_00051.docx,docx,行政通知,L1,技术部门培训计划,1
custom_00052,custom_00052.docx,docx,公开报告,L1,产品使用手册 v3.0,1
custom_00053,custom_00053.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00054,custom_00054.docx,docx,行政通知,L1,关于7月考勤安排的通知,1
custom_00055,custom_00055.docx,docx,公开报告,L1,产品使用手册 v1.5,1
custom_00056,custom_00056.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00057,custom_00057.docx,docx,公开报告,L1,2024年度企业社会责任报告,1
custom_00058,custom_00058.docx,docx,行政通知,L1,安全部门培训计划,1
custom_00059,custom_00059.docx,docx,行政通知,L1,假期安排通知,1
custom_00060,custom_00060.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00061,custom_00061.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00062,custom_00062.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00063,custom_00063.docx,docx,行政通知,L1,法务部门培训计划,1
custom_00064,custom_00064.docx,docx,公开报告,L1,产品使用手册 v2.0,1
custom_00065,custom_00065.docx,docx,公开报告,L1,产品使用手册 v2.3,1
custom_00066,custom_00066.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00067,custom_00067.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00068,custom_00068.docx,docx,行政通知,L1,办公区域管理规定,1
custom_00069,custom_00069.docx,docx,行政通知,L1,假期安排通知,1
custom_00070,custom_00070.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00071,custom_00071.docx,docx,行政通知,L1,人力部门培训计划,1
custom_00072,custom_00072.docx,docx,行政通知,L1,员工手册更新说明,1
custom_00073,custom_00073.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00074,custom_00074.docx,docx,公开报告,L1,技术白皮书：产品服务能力,1
custom_00075,custom_00075.docx,docx,行政通知,L1,关于4月考勤安排的通知,1
custom_00076,custom_00076.docx,docx,行政通知,L1,人力部门培训计划,1
custom_00077,custom_00077.docx,docx,行政通知,L1,假期安排通知,1
custom_00078,custom_00078.docx,docx,行政通知,L1,关于7月考勤安排的通知,1
custom_00079,custom_00079.docx,docx,公开报告,L1,2025年度企业社会责任报告,1
custom_00080,custom_00080.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00081,custom_00081.docx,docx,内部备忘,L2,内部沟通：系统升级事项,1
custom_00082,custom_00082.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00083,custom_00083.docx,docx,项目文档,L2,系统架构设计文档 - 认证模块,1
custom_00084,custom_00084.docx,docx,内部备忘,L2,安全部门周报 - 第40周,1
custom_00085,custom_00085.docx,docx,内部备忘,L2,关于Titan项目进度的备忘录,1
custom_00086,custom_00086.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00087,custom_00087.docx,docx,内部备忘,L2,法务部门周报 - 第52周,1
custom_00088,custom_00088.docx,docx,项目文档,L2,Omega测试报告,1
custom_00089,custom_00089.docx,docx,内部备忘,L2,关于Omega项目进度的备忘录,1
custom_00090,custom_00090.docx,docx,项目文档,L2,系统架构设计文档 - 认证模块,1
custom_00091,custom_00091.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00092,custom_00092.docx,docx,内部备忘,L2,会议纪要：风险复盘讨论会,1
custom_00093,custom_00093.docx,docx,内部备忘,L2,运维部门周报 - 第30周,1
custom_00094,custom_00094.docx,docx,内部备忘,L2,产品部门周报 - 第46周,1
custom_00095,custom_00095.docx,docx,内部备忘,L2,产品部门周报 - 第22周,1
custom_00096,custom_00096.docx,docx,内部备忘,L2,会议纪要：系统升级讨论会,1
custom_00097,custom_00097.docx,docx,项目文档,L2,Apex需求规格说明书,1
custom_00098,custom_00098.docx,docx,内部备忘,L2,内部沟通：资源协调事项,1
custom_00099,custom_00099.docx,docx,项目文档,L2,Nebula测试报告,1
custom_00100,custom_00100.docx,docx,项目文档,L2,Nova测试报告,1
custom_00101,custom_00101.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00102,custom_00102.docx,docx,项目文档,L2,Omega需求规格说明书,1
custom_00103,custom_00103.docx,docx,项目文档,L2,Omega测试报告,1
custom_00104,custom_00104.docx,docx,项目文档,L2,Atlas需求规格说明书,1
custom_00105,custom_00105.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00106,custom_00106.docx,docx,项目文档,L2,系统架构设计文档 - 认证模块,1
custom_00107,custom_00107.docx,docx,项目文档,L2,Titan测试报告,1
custom_00108,custom_00108.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00109,custom_00109.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00110,custom_00110.docx,docx,内部备忘,L2,产品部门周报 - 第23周,1
custom_00111,custom_00111.docx,docx,项目文档,L2,Titan测试报告,1
custom_00112,custom_00112.docx,docx,内部备忘,L2,关于Omega项目进度的备忘录,1
custom_00113,custom_00113.docx,docx,内部备忘,L2,关于Nebula项目进度的备忘录,1
custom_00114,custom_00114.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00115,custom_00115.docx,docx,项目文档,L2,Nebula需求规格说明书,1
custom_00116,custom_00116.docx,docx,内部备忘,L2,关于Apex项目进度的备忘录,1
custom_00117,custom_00117.docx,docx,内部备忘,L2,人力部门周报 - 第34周,1
custom_00118,custom_00118.docx,docx,内部备忘,L2,法务部门周报 - 第48周,1
custom_00119,custom_00119.docx,docx,项目文档,L2,Nebula测试报告,1
custom_00120,custom_00120.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00121,custom_00121.docx,docx,项目文档,L2,Titan需求规格说明书,1
custom_00122,custom_00122.docx,docx,项目文档,L2,Phoenix测试报告,1
custom_00123,custom_00123.docx,docx,内部备忘,L2,关于Apex项目进度的备忘录,1
custom_00124,custom_00124.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00125,custom_00125.docx,docx,内部备忘,L2,会议纪要：需求收敛讨论会,1
custom_00126,custom_00126.docx,docx,项目文档,L2,Titan测试报告,1
custom_00127,custom_00127.docx,docx,内部备忘,L2,人力部门周报 - 第11周,1
custom_00128,custom_00128.docx,docx,内部备忘,L2,关于Apex项目进度的备忘录,1
custom_00129,custom_00129.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00130,custom_00130.docx,docx,内部备忘,L2,关于Atlas项目进度的备忘录,1
custom_00131,custom_00131.docx,docx,内部备忘,L2,会议纪要：需求收敛讨论会,1
custom_00132,custom_00132.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00133,custom_00133.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00134,custom_00134.docx,docx,项目文档,L2,系统架构设计文档 - 日志平台,1
custom_00135,custom_00135.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00136,custom_00136.docx,docx,项目文档,L2,Nebula需求规格说明书,1
custom_00137,custom_00137.docx,docx,内部备忘,L2,内部沟通：需求收敛事项,1
custom_00138,custom_00138.docx,docx,项目文档,L2,Titan需求规格说明书,1
custom_00139,custom_00139.docx,docx,项目文档,L2,Nova测试报告,1
custom_00140,custom_00140.docx,docx,项目文档,L2,Phoenix测试报告,1
custom_00141,custom_00141.docx,docx,内部备忘,L2,会议纪要：资源协调讨论会,1
custom_00142,custom_00142.docx,docx,内部备忘,L2,关于Omega项目进度的备忘录,1
custom_00143,custom_00143.docx,docx,内部备忘,L2,市场部门周报 - 第13周,1
custom_00144,custom_00144.docx,docx,项目文档,L2,Nova测试报告,1
custom_00145,custom_00145.docx,docx,内部备忘,L2,内部沟通：预算使用事项,1
custom_00146,custom_00146.docx,docx,内部备忘,L2,会议纪要：资源协调讨论会,1
custom_00147,custom_00147.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00148,custom_00148.docx,docx,内部备忘,L2,人力部门周报 - 第27周,1
custom_00149,custom_00149.docx,docx,内部备忘,L2,会议纪要：风险复盘讨论会,1
custom_00150,custom_00150.docx,docx,项目文档,L2,系统架构设计文档 - 认证模块,1
custom_00151,custom_00151.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00152,custom_00152.docx,docx,内部备忘,L2,内部沟通：系统升级事项,1
custom_00153,custom_00153.docx,docx,内部备忘,L2,人力部门周报 - 第39周,1
custom_00154,custom_00154.docx,docx,内部备忘,L2,内部沟通：资源协调事项,1
custom_00155,custom_00155.docx,docx,项目文档,L2,Nova测试报告,1
custom_00156,custom_00156.docx,docx,项目文档,L2,Apex测试报告,1
custom_00157,custom_00157.docx,docx,内部备忘,L2,法务部门周报 - 第10周,1
custom_00158,custom_00158.docx,docx,内部备忘,L2,产品部门周报 - 第24周,1
custom_00159,custom_00159.docx,docx,内部备忘,L2,关于Omega项目进度的备忘录,1
custom_00160,custom_00160.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00161,custom_00161.docx,docx,内部备忘,L2,内部沟通：系统升级事项,1
custom_00162,custom_00162.docx,docx,内部备忘,L2,内部沟通：系统升级事项,1
custom_00163,custom_00163.docx,docx,项目文档,L2,Phoenix需求规格说明书,1
custom_00164,custom_00164.docx,docx,项目文档,L2,Atlas测试报告,1
custom_00165,custom_00165.docx,docx,内部备忘,L2,内部沟通：资源协调事项,1
custom_00166,custom_00166.docx,docx,内部备忘,L2,法务部门周报 - 第7周,1
custom_00167,custom_00167.docx,docx,项目文档,L2,Omega测试报告,1
custom_00168,custom_00168.docx,docx,项目文档,L2,Atlas测试报告,1
custom_00169,custom_00169.docx,docx,内部备忘,L2,关于Titan项目进度的备忘录,1
custom_00170,custom_00170.docx,docx,项目文档,L2,Atlas需求规格说明书,1
custom_00171,custom_00171.docx,docx,内部备忘,L2,产品部门周报 - 第24周,1
custom_00172,custom_00172.docx,docx,内部备忘,L2,内部沟通：预算使用事项,1
custom_00173,custom_00173.docx,docx,内部备忘,L2,安全部门周报 - 第19周,1
custom_00174,custom_00174.docx,docx,项目文档,L2,Nova测试报告,1
custom_00175,custom_00175.docx,docx,内部备忘,L2,法务部门周报 - 第31周,1
custom_00176,custom_00176.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00177,custom_00177.docx,docx,内部备忘,L2,内部沟通：资源协调事项,1
custom_00178,custom_00178.docx,docx,内部备忘,L2,会议纪要：风险复盘讨论会,1
custom_00179,custom_00179.docx,docx,内部备忘,L2,内部沟通：资源协调事项,1
custom_00180,custom_00180.docx,docx,内部备忘,L2,人力部门周报 - 第7周,1
custom_00181,custom_00181.docx,docx,内部备忘,L2,会议纪要：风险复盘讨论会,1
custom_00182,custom_00182.docx,docx,项目文档,L2,Nebula测试报告,1
custom_00183,custom_00183.docx,docx,内部备忘,L2,会议纪要：资源协调讨论会,1
custom_00184,custom_00184.docx,docx,内部备忘,L2,法务部门周报 - 第4周,1
custom_00185,custom_00185.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00186,custom_00186.docx,docx,项目文档,L2,Nova测试报告,1
custom_00187,custom_00187.docx,docx,内部备忘,L2,会议纪要：风险复盘讨论会,1
custom_00188,custom_00188.docx,docx,项目文档,L2,Nebula需求规格说明书,1
custom_00189,custom_00189.docx,docx,项目文档,L2,Atlas测试报告,1
custom_00190,custom_00190.docx,docx,内部备忘,L2,会议纪要：需求收敛讨论会,1
custom_00191,custom_00191.docx,docx,内部备忘,L2,关于Atlas项目进度的备忘录,1
custom_00192,custom_00192.docx,docx,内部备忘,L2,产品部门周报 - 第5周,1
custom_00193,custom_00193.docx,docx,内部备忘,L2,运维部门周报 - 第36周,1
custom_00194,custom_00194.docx,docx,项目文档,L2,Phoenix需求规格说明书,1
custom_00195,custom_00195.docx,docx,内部备忘,L2,关于Nebula项目进度的备忘录,1
custom_00196,custom_00196.docx,docx,内部备忘,L2,内部沟通：系统升级事项,1
custom_00197,custom_00197.docx,docx,项目文档,L2,Atlas测试报告,1
custom_00198,custom_00198.docx,docx,项目文档,L2,Nova需求规格说明书,1
custom_00199,custom_00199.docx,docx,项目文档,L2,Apex需求规格说明书,1
custom_00200,custom_00200.docx,docx,项目文档,L2,系统架构设计文档 - 消息队列,1
custom_00201,custom_00201.docx,docx,项目文档,L2,系统架构设计文档 - 权限中心,1
custom_00202,custom_00202.docx,docx,项目文档,L2,Omega需求规格说明书,1
custom_00203,custom_00203.docx,docx,内部备忘,L2,会议纪要：预算使用讨论会,1
custom_00204,custom_00204.docx,docx,项目文档,L2,Nova测试报告,1
custom_00205,custom_00205.docx,docx,内部备忘,L2,关于Phoenix项目进度的备忘录,1
custom_00206,custom_00206.docx,docx,项目文档,L2,系统架构设计文档 - 日志平台,1
custom_00207,custom_00207.docx,docx,内部备忘,L2,会议纪要：预算使用讨论会,1
custom_00208,custom_00208.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00209,custom_00209.docx,docx,内部备忘,L2,内部沟通：预算使用事项,1
custom_00210,custom_00210.docx,docx,项目文档,L2,系统架构设计文档 - 权限中心,1
custom_00211,custom_00211.docx,docx,内部备忘,L2,数据部门周报 - 第38周,1
custom_00212,custom_00212.docx,docx,项目文档,L2,Atlas需求规格说明书,1
custom_00213,custom_00213.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00214,custom_00214.docx,docx,内部备忘,L2,关于Nebula项目进度的备忘录,1
custom_00215,custom_00215.docx,docx,内部备忘,L2,会议纪要：系统升级讨论会,1
custom_00216,custom_00216.docx,docx,项目文档,L2,系统架构设计文档 - 日志平台,1
custom_00217,custom_00217.docx,docx,内部备忘,L2,关于Apex项目进度的备忘录,1
custom_00218,custom_00218.docx,docx,内部备忘,L2,市场部门周报 - 第28周,1
custom_00219,custom_00219.docx,docx,项目文档,L2,系统架构设计文档 - API网关,1
custom_00220,custom_00220.docx,docx,内部备忘,L2,内部沟通：风险复盘事项,1
custom_00221,custom_00221.docx,docx,内部备忘,L2,会议纪要：资源协调讨论会,1
custom_00222,custom_00222.docx,docx,项目文档,L2,系统架构设计文档 - 数据层,1
custom_00223,custom_00223.docx,docx,内部备忘,L2,内部沟通：风险复盘事项,1
custom_00224,custom_00224.docx,docx,内部备忘,L2,关于Omega项目进度的备忘录,1
custom_00225,custom_00225.docx,docx,项目文档,L2,Titan需求规格说明书,1
custom_00226,custom_00226.docx,docx,项目文档,L2,Phoenix需求规格说明书,1
custom_00227,custom_00227.docx,docx,项目文档,L2,系统架构设计文档 - 日志平台,1
custom_00228,custom_00228.docx,docx,内部备忘,L2,安全部门周报 - 第26周,1
custom_00229,custom_00229.docx,docx,内部备忘,L2,会议纪要：预算使用讨论会,1
custom_00230,custom_00230.docx,docx,财务文档,L3,2023年Q3财务报表,1
custom_00231,custom_00231.docx,docx,财务文档,L3,采购合同：美团,1
custom_00232,custom_00232.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00233,custom_00233.docx,docx,财务文档,L3,财务部门预算审批单,1
custom_00234,custom_00234.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00235,custom_00235.docx,docx,合同协议,L3,保密协议 - 京东,1
custom_00236,custom_00236.docx,docx,财务文档,L3,费用报销审批：咨询服务,1
custom_00237,custom_00237.docx,docx,财务文档,L3,采购合同：京东,1
custom_00238,custom_00238.docx,docx,财务文档,L3,2023年Q3财务报表,1
custom_00239,custom_00239.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00240,custom_00240.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00241,custom_00241.docx,docx,财务文档,L3,2025年Q2财务报表,1
custom_00242,custom_00242.docx,docx,合同协议,L3,保密协议 - 华为,1
custom_00243,custom_00243.docx,docx,财务文档,L3,技术部门预算审批单,1
custom_00244,custom_00244.docx,docx,财务文档,L3,财务部门预算审批单,1
custom_00245,custom_00245.docx,docx,财务文档,L3,采购合同：阿里云,1
custom_00246,custom_00246.docx,docx,财务文档,L3,2023年Q3财务报表,1
custom_00247,custom_00247.docx,docx,财务文档,L3,采购合同：腾讯,1
custom_00248,custom_00248.docx,docx,合同协议,L3,保密协议 - 美团,1
custom_00249,custom_00249.docx,docx,财务文档,L3,2025年Q1财务报表,1
custom_00250,custom_00250.docx,docx,财务文档,L3,安全部门预算审批单,1
custom_00251,custom_00251.docx,docx,合同协议,L3,保密协议 - 百度,1
custom_00252,custom_00252.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00253,custom_00253.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00254,custom_00254.docx,docx,合同协议,L3,保密协议 - 京东,1
custom_00255,custom_00255.docx,docx,合同协议,L3,数据处理协议 - 腾讯,1
custom_00256,custom_00256.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00257,custom_00257.docx,docx,财务文档,L3,2024年Q4财务报表,1
custom_00258,custom_00258.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00259,custom_00259.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00260,custom_00260.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00261,custom_00261.docx,docx,财务文档,L3,人力部门预算审批单,1
custom_00262,custom_00262.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00263,custom_00263.docx,docx,财务文档,L3,采购合同：腾讯,1
custom_00264,custom_00264.docx,docx,财务文档,L3,采购合同：百度,1
custom_00265,custom_00265.docx,docx,财务文档,L3,2024年Q2财务报表,1
custom_00266,custom_00266.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00267,custom_00267.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00268,custom_00268.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00269,custom_00269.docx,docx,财务文档,L3,产品部门预算审批单,1
custom_00270,custom_00270.docx,docx,财务文档,L3,采购合同：阿里云,1
custom_00271,custom_00271.docx,docx,财务文档,L3,2024年Q4财务报表,1
custom_00272,custom_00272.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00273,custom_00273.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00274,custom_00274.docx,docx,财务文档,L3,数据部门预算审批单,1
custom_00275,custom_00275.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00276,custom_00276.docx,docx,财务文档,L3,采购合同：华为,1
custom_00277,custom_00277.docx,docx,合同协议,L3,保密协议 - 百度,1
custom_00278,custom_00278.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00279,custom_00279.docx,docx,财务文档,L3,财务部门预算审批单,1
custom_00280,custom_00280.docx,docx,合同协议,L3,数据处理协议 - 华为,1
custom_00281,custom_00281.docx,docx,财务文档,L3,2025年Q2财务报表,1
custom_00282,custom_00282.docx,docx,合同协议,L3,数据处理协议 - 字节跳动,1
custom_00283,custom_00283.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00284,custom_00284.docx,docx,财务文档,L3,2024年Q3财务报表,1
custom_00285,custom_00285.docx,docx,财务文档,L3,采购合同：华为,1
custom_00286,custom_00286.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00287,custom_00287.docx,docx,财务文档,L3,采购合同：字节跳动,1
custom_00288,custom_00288.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00289,custom_00289.docx,docx,财务文档,L3,费用报销审批：培训费用,1
custom_00290,custom_00290.docx,docx,合同协议,L3,保密协议 - 百度,1
custom_00291,custom_00291.docx,docx,合同协议,L3,数据处理协议 - 阿里云,1
custom_00292,custom_00292.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00293,custom_00293.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00294,custom_00294.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00295,custom_00295.docx,docx,合同协议,L3,数据处理协议 - 华为,1
custom_00296,custom_00296.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00297,custom_00297.docx,docx,财务文档,L3,法务部门预算审批单,1
custom_00298,custom_00298.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00299,custom_00299.docx,docx,财务文档,L3,运维部门预算审批单,1
custom_00300,custom_00300.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00301,custom_00301.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00302,custom_00302.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00303,custom_00303.docx,docx,合同协议,L3,数据处理协议 - 华为,1
custom_00304,custom_00304.docx,docx,财务文档,L3,2025年Q4财务报表,1
custom_00305,custom_00305.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00306,custom_00306.docx,docx,财务文档,L3,技术部门预算审批单,1
custom_00307,custom_00307.docx,docx,合同协议,L3,数据处理协议 - 华为,1
custom_00308,custom_00308.docx,docx,合同协议,L3,数据处理协议 - 字节跳动,1
custom_00309,custom_00309.docx,docx,合同协议,L3,数据处理协议 - 美团,1
custom_00310,custom_00310.docx,docx,财务文档,L3,采购合同：字节跳动,1
custom_00311,custom_00311.docx,docx,财务文档,L3,采购合同：腾讯,1
custom_00312,custom_00312.docx,docx,财务文档,L3,费用报销审批：云资源扩容,1
custom_00313,custom_00313.docx,docx,财务文档,L3,费用报销审批：咨询服务,1
custom_00314,custom_00314.docx,docx,财务文档,L3,采购合同：美团,1
custom_00315,custom_00315.docx,docx,财务文档,L3,采购合同：字节跳动,1
custom_00316,custom_00316.docx,docx,合同协议,L3,数据处理协议 - 腾讯,1
custom_00317,custom_00317.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00318,custom_00318.docx,docx,合同协议,L3,保密协议 - 百度,1
custom_00319,custom_00319.docx,docx,财务文档,L3,2023年Q4财务报表,1
custom_00320,custom_00320.docx,docx,合同协议,L3,保密协议 - 字节跳动,1
custom_00321,custom_00321.docx,docx,财务文档,L3,2025年Q2财务报表,1
custom_00322,custom_00322.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00323,custom_00323.docx,docx,财务文档,L3,费用报销审批：咨询服务,1
custom_00324,custom_00324.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00325,custom_00325.docx,docx,财务文档,L3,采购合同：京东,1
custom_00326,custom_00326.docx,docx,财务文档,L3,采购合同：百度,1
custom_00327,custom_00327.docx,docx,财务文档,L3,市场部门预算审批单,1
custom_00328,custom_00328.docx,docx,合同协议,L3,数据处理协议 - 华为,1
custom_00329,custom_00329.docx,docx,合同协议,L3,数据处理协议 - 京东,1
custom_00330,custom_00330.docx,docx,财务文档,L3,2025年Q2财务报表,1
custom_00331,custom_00331.docx,docx,财务文档,L3,采购合同：字节跳动,1
custom_00332,custom_00332.docx,docx,财务文档,L3,运维部门预算审批单,1
custom_00333,custom_00333.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00334,custom_00334.docx,docx,合同协议,L3,保密协议 - 华为,1
custom_00335,custom_00335.docx,docx,财务文档,L3,财务部门预算审批单,1
custom_00336,custom_00336.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00337,custom_00337.docx,docx,财务文档,L3,费用报销审批：设备采购,1
custom_00338,custom_00338.docx,docx,合同协议,L3,数据处理协议 - 百度,1
custom_00339,custom_00339.docx,docx,财务文档,L3,法务部门预算审批单,1
custom_00340,custom_00340.docx,docx,财务文档,L3,市场部门预算审批单,1
custom_00341,custom_00341.docx,docx,财务文档,L3,2025年Q3财务报表,1
custom_00342,custom_00342.docx,docx,合同协议,L3,技术合作框架协议,1
custom_00343,custom_00343.docx,docx,财务文档,L3,人力部门预算审批单,1
custom_00344,custom_00344.docx,docx,合同协议,L3,保密协议 - 百度,1
custom_00345,custom_00345.docx,docx,财务文档,L3,技术部门预算审批单,1
custom_00346,custom_00346.docx,docx,财务文档,L3,采购合同：腾讯,1
